T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  169.376                 -211.005              
300     169.378                 -210.994              
400     173.563                 -237.433              
500     181.465                 -233.308              
600     190.314                 -229.444              
700     199.187                 -225.839              
800     207.753                 -222.537              
900     215.902                 -219.661              
1000    223.608                 -217.513              
1100    230.885                 -216.269              
1200    237.759                 -214.482              
1300    244.260                 -211.057              
1400    250.419                 -207.724              
1500    256.265                 -204.485              
1600    261.825                 -201.339              
1700    267.124                 -199.239              
1800    272.183                 -196.620              
1900    277.021                 -208.198              
2000    281.657                 -206.017              
