T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  139.876                 -311.336              
300     139.878                 -311.256              
400     143.886                 -307.137              
500     151.454                 -303.343              
600     159.928                 -299.844              
700     168.425                 -296.624              
800     176.628                 -293.721              
900     184.432                 -291.253              
1000    191.812                 289.520               
1100    198.781                 -288.695              
1200    205.363                 -287.330              
1300    211.589                 -284.328              
1400    217.487                 -281.420              
1500    223.085                 -278.604              
1600    228.410                 -275.881              
1700    233.484                 -274.200              
1800    238.329                 -271.997              
1900    242.962                 -283.985              
2000    247.402                 -282.207              
