T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  167.360                 -104.600              
300     167.362                 -104.592              
400     170.647                 -120.478              
500     176.859                 -163.121              
600     183.825                 -161.531              
700     190.927                 -158.983              
800     198.037                 -156.060              
900     205.106                 152.024               
1000    212.158                 -147.361              
1100    219.168                 -142.883              
1200    226.078                 -137.621              
1300    232.837                 -130.695              
1400    239.413                 -123.883              
1500    245.790                 -117.196              
