T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     259.201                 3.928                 
200     232.243                 3.001                 
250     229.676                 2.532                 
298.15  229.106                 2.092                 
300     229.107                 2.076                 
350     229.536                 1.649                 
400     230.504                 1.260                 
450     231.776                 0.908                 
500     233.222                 0.591                 
600     236.363                 0.043                 
700     239.603                 -0.411                
800     242.813                 -0.790                
900     245.937                 -1.107                
1000    248.952                 -1.368                
1100    251.853                 -1.582                
1200    254.639                 -1.754                
1300    257.315                 -1.887                
1400    259.886                 -1.988                
1500    262.360                 -2.058                
1600    264.741                 -2.102                
1700    267.037                 -2.122                
1800    269.252                 -2.121                
1900    271.393                 -2.102                
2000    273.464                 -2.067                
2100    275.469                 -2.019                
2200    277.413                 -1.960                
2300    279.299                 -1.893                
2400    281.131                 -1.818                
2500    282.911                 -1.740                
2600    284.644                 -1.659                
2700    286.330                 -1.577                
2800    287.973                 -1.497                
2900    289.575                 -1.419                
3000    291.138                 -1.346                
3100    292.663                 -1.278                
3200    294.153                 -1.218                
3300    295.609                 -1.165                
3400    297.033                 -1.122                
3500    298.426                 -1.089                
3600    299.789                 -1.067                
3700    301.123                 -1.058                
3800    302.431                 -1.061                
3900    303.711                 -1.078                
4000    304.967                 -1.109                
4100    306.199                 -1.156                
4200    307.406                 -1.217                
4300    308.592                 -1.296                
4400    309.756                 -1.391                
4500    310.898                 -1.504                
4600    312.021                 -1.634                
4700    313.123                 -1.784                
4800    314.207                 -1.952                
4900    315.272                 -2.141                
5000    316.320                 -2.350                
5100    317.351                 -2.580                
5200    318.364                 -2.831                
5300    319.362                 -3.105                
5400    320.344                 -3.402                
5500    321.311                 -3.722                
5600    322.263                 -4.067                
5700    323.200                 -4.437                
5800    324.124                 -4.832                
5900    325.034                 -5.254                
6000    325.931                 -5.702                
