T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     133.197                 216.614               
200     116.618                 217.346               
250     115.059                 217.687               
298.15  114.716                 217.999               
300     114.717                 218.011               
350     114.970                 218.326               
400     115.532                 218.637               
450     116.259                 218.946               
500     117.072                 219.254               
600     118.796                 219.868               
700     120.524                 220.478               
800     122.193                 221.080               
900     123.781                 221.671               
1000    125.282                 222.248               
1100    126.700                 222.807               
1200    128.039                 223.346               
1300    129.305                 223.865               
1400    130.505                 224.361               
1500    131.644                 224.836               
1600    132.728                 225.289               
1700    133.760                 225.721               
1800    134.745                 226.132               
1900    135.688                 226.525               
2000    136.591                 226.898               
2100    137.458                 227.254               
2200    138.291                 227.593               
2300    139.092                 227.916               
2400    139.864                 228.224               
2500    140.610                 228.518               
2600    141.330                 228.798               
2700    142.026                 229.064               
2800    142.700                 229.318               
2900    143.353                 229.560               
3000    143.986                 229.790               
3100    144.601                 230.008               
3200    145.199                 230.216               
3300    145.780                 230.413               
3400    146.345                 230.599               
3500    146.895                 230.776               
3600    147.432                 230.942               
3700    147.955                 231.098               
3800    148.465                 231.244               
3900    148.963                 231.381               
4000    149.450                 231.509               
4100    149.925                 231.627               
4200    150.390                 231.736               
4300    150.845                 231.836               
4400    151.290                 231.927               
4500    151.726                 232.009               
4600    152.153                 232.082               
4700    152.571                 232.147               
4800    152.981                 232.204               
4900    153.383                 232.253               
5000    153.778                 232.294               
5100    154.165                 232.327               
5200    154.546                 232.353               
5300    154.919                 232.373               
5400    155.286                 232.386               
5500    155.646                 232.392               
5600    156.001                 232.393               
5700    156.349                 232.389               
5800    156.692                 232.379               
5900    157.029                 232.365               
6000    157.361                 232.348               
