T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     372.093                 -67.466               
200     325.684                 -69.415               
250     321.212                 -72.984               
298.15  320.223                 -85.454               
300     320.225                 -85.534               
350     320.961                 -116.545              
400     322.602                 -116.701              
450     324.730                 -116.845              
500     327.116                 -116.981              
600     332.191                 -117.244              
700     337.295                 -176.267              
800     342.232                 -175.898              
900     346.937                 -175.532              
1000    351.392                 -175.171              
1100    355.603                 -174.815              
1200    359.584                 -174.465              
1300    363.351                 -174.121              
1400    366.923                 -173.785              
1500    370.316                 -173.456              
1600    373.544                 -173.136              
1700    376.621                 -172.827              
1800    379.560                 -172.531              
1900    382.372                 -172.248              
2000    385.067                 -171.982              
2100    387.653                 -171.733              
2200    390.139                 -171.504              
2300    392.533                 -171.296              
2400    394.840                 -171.110              
2500    397.066                 -170.947              
2600    399.217                 -170.806              
2700    401.297                 -170.687              
2800    403.311                 -170.589              
2900    405.263                 -170.511              
3000    407.157                 -170.452              
3100    408.995                 -170.408              
3200    410.782                 -170.379              
3300    412.519                 -170.361              
3400    414.209                 -170.351              
3500    415.856                 -170.348              
3600    417.460                 -170.349              
3700    419.025                 -170.350              
3800    420.551                 -170.349              
3900    422.041                 -170.345              
4000    423.497                 -170.334              
4100    424.920                 -170.314              
4200    426.311                 -170.284              
4300    427.672                 -170.242              
4400    429.004                 -170.186              
4500    430.308                 -170.115              
4600    431.586                 -170.028              
4700    432.838                 -169.923              
4800    434.066                 -169.800              
4900    435.270                 -169.658              
5000    436.452                 -169.498              
5100    437.611                 -169.318              
5200    438.750                 -169.118              
5300    439.868                 -168.898              
5400    440.966                 -168.660              
5500    442.046                 -168.402              
5600    443.107                 -168.125              
5700    444.151                 -167.829              
5800    445.177                 -167.516              
5900    446.187                 -167.186              
6000    447.181                 -166.839              
