T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  116.315                 -422.584              
300     116.317                 -422.555              
400     119.279                 -420.946              
500     124.943                 -419.236              
600     131.370                 -417.411              
700     137.901                 -474.215              
800     144.290                 -471.472              
900     150.448                 -468.565              
1000    156.347                 465.485               
1100    161.988                 -462.225              
1200    167.384                 -458.782              
1300    172.552                 -455.153              
1400    177.508                 -451.336              
1500    182.269                 -447.330              
1600    186.853                 -443.133              
1700    191.272                 -438.743              
1800    195.541                 -434.159              
1900    199.672                 -429.378              
2000    203.675                 -424.396              
