T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  181.326                 -105.437              
300     181.328                 -105.445              
400     184.430                 -121.858              
500     191.669                 -161.859              
600     199.338                 159.916               
700     206.828                 -216.745              
800     213.954                 -214.191              
900     220.667                 -211.648              
1000    226.974                 -209.116              
1100    232.900                 -206.598              
1200    238.477                 -204.098              
1300    243.735                 -201.620              
1400    248.706                 -199.174              
1500    253.414                 -196.768              
