T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     162.472                 0.                    
200     121.036                 0.                    
250     117.030                 0.                    
298.15  116.142                 0.                    
300     116.143                 0.                    
350     116.818                 0.                    
400     118.376                 15.730                
450     120.500                 -16.288               
500     123.015                 -56.586               
600     128.815                 -51.439               
700     135.263                 -44.745               
