T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     162.472                 0.                    
200     121.036                 0.                    
298.15  116.142                 0.                    
300     116.143                 0.                    
400     119.714                 0.                    
500     140.049                 0.                    
600     163.948                 0.                    
700     181.918                 0.                    
800     196.072                 0.                    
900     207.608                 0.                    
1000    217.259                 0.                    
1100    225.502                 0.                    
1200    232.661                 0.                    
1300    238.966                 0.                    
1400    244.583                 0.                    
1500    249.637                 0.                    
1600    254.224                 0.                    
1700    258.418                 0.                    
1800    262.280                 0.                    
1900    265.856                 0.                    
2000    269.185                 0.                    
2100    272.299                 0.                    
2200    275.224                 0.                    
2300    277.981                 0.                    
2400    280.589                 0.                    
2500    283.064                 0.                    
2600    285.417                 0.                    
2700    287.661                 0.                    
2800    289.805                 0.                    
2900    291.856                 0.                    
3000    293.823                 0.                    
3100    295.711                 0.                    
3200    297.526                 0.                    
3300    299.273                 0.                    
3400    300.956                 0.                    
3500    302.579                 0.                    
3600    304.146                 0.                    
3700    305.660                 0.                    
3800    307.123                 0.                    
3900    308.539                 0.                    
4000    309.911                 0.                    
4100    311.239                 0.                    
4200    312.527                 0.                    
4300    313.777                 0.                    
4400    314.989                 0.                    
4500    316.167                 0.                    
4600    317.311                 0.                    
4700    318.424                 0.                    
4800    319.506                 0.                    
4900    320.559                 0.                    
5000    321.584                 0.                    
5100    322.582                 0.                    
5200    323.555                 0.                    
5300    324.503                 0.                    
5400    325.428                 0.                    
5500    326.330                 0.                    
5600    327.211                 0.                    
5700    328.071                 0.                    
5800    328.910                 0.                    
5900    329.730                 0.                    
6000    330.532                 0.                    
