T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  115.060                 -376.560              
300     115.061                 -376.573              
400     118.023                 -384.524              
500     123.702                 -386.806              
600     130.167                 -388.349              
700     136.757                 -389.306              
800     143.224                 -389.826              
900     149.486                 -442.745              
1000    155.672                 -438.078              
1100    162.127                 -586.914              
1200    168.686                 -578.724              
1300    175.150                 570.550               
1400    181.473                 -562.393              
1500    187.632                 -554.251              
1600    193.614                 -546.127              
1700    199.416                 -538.021              
1800    205.039                 -529.933              
1900    210.486                 -521.866              
2000    215.764                 -513.823              
