T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     176.531                 -223.820              
200     114.809                 -226.193              
298.15  106.608                 -226.898              
300     106.610                 -226.902              
400     110.480                 -229.606              
500     117.887                 -230.144              
600     126.258                 -230.651              
700     134.780                 -230.655              
800     143.213                 -230.132              
900     151.419                 -229.490              
1000    159.326                 -228.820              
1100    166.908                 -307.159              
1200    174.162                 -305.599              
1300    181.098                 -304.101              
1400    187.730                 -302.676              
1500    194.075                 -301.326              
1600    200.153                 -300.054              
1700    205.982                 -298.859              
1800    211.578                 -297.741              
1900    216.958                 -296.700              
2000    222.137                 -295.735              
