T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  88.455                  -980.730              
300     88.457                  -980.735              
400     91.213                  -983.335              
500     96.712                  -983.190              
600     103.184                 -982.670              
700     109.950                 -981.850              
800     116.715                 -980.788              
900     123.585                 -975.486              
1000    130.707                 -969.779              
1100    137.868                 -1043.193             
1200    144.946                 -1036.765             
1300    151.876                 1030.425              
1400    158.620                 -1024.163             
1500    165.163                 -1017.974             
1600    171.499                 -1011.854             
1700    177.629                 -1005.801             
1800    183.556                 -999.812              
1900    189.287                 -993.888              
2000    194.832                 -988.029              
