T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     89.101                  0.                    
200     67.270                  0.                    
250     65.146                  0.                    
298.15  64.670                  0.                    
300     64.671                  0.                    
350     65.312                  0.                    
400     66.993                  0.                    
450     68.739                  0.                    
500     70.482                  0.                    
600     73.840                  0.                    
700     76.960                  0.                    
800     79.834                  0.                    
900     82.485                  0.                    
1000    84.939                  0.                    
1100    87.223                  78.951                
1200    89.362                  -77.884               
1300    91.377                  -76.729               
1400    93.284                  -75.482               
1500    95.098                  -74.143               
