T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     97.487                  -104.848              
200     57.635                  -105.028              
298.15  51.923                  -105.018              
300     51.925                  -105.018              
400     54.807                  -105.503              
500     60.529                  -106.763              
600     67.256                  -108.386              
700     74.305                  -110.174              
800     81.380                  -112.005              
900     88.354                  -113.807              
1000    95.167                  -124.164              
1100    101.793                 -126.005              
1200    108.213                 -127.787              
1300    114.427                 -129.422              
1400    120.443                 -258.297              
1500    126.270                 -258.286              
1600    131.917                 -258.193              
1700    137.393                 -258.064              
1800    142.703                 -257.921              
1900    147.855                 -257.759              
2000    152.858                 -257.573              
