T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     262.874                 -42.467               
200     236.542                 -42.877               
250     233.982                 -43.187               
298.15  233.413                 -43.514               
300     233.413                 -43.527               
350     233.840                 -43.889               
400     234.795                 -44.272               
450     236.039                 -44.675               
500     237.437                 -45.098               
600     240.422                 -46.009               
700     243.437                 -47.014               
800     246.364                 -48.128               
900     249.159                 -49.366               
1000    251.813                 -59.338               
1100    254.327                 -60.880               
1200    256.707                 -62.419               
1300    258.964                 -63.955               
1400    261.107                 -192.897              
1500    263.144                 -193.076              
1600    265.085                 -193.252              
1700    266.938                 -193.427              
1800    268.710                 -193.601              
1900    270.407                 -193.773              
2000    272.034                 -193.945              
2100    273.598                 -194.117              
2200    275.103                 -194.291              
2300    276.553                 -194.466              
2400    277.951                 -194.644              
2500    279.302                 -194.826              
2600    280.609                 -195.014              
2700    281.873                 -195.208              
2800    283.098                 -195.409              
2900    284.287                 -195.619              
3000    285.441                 -195.839              
3100    286.562                 -196.071              
3200    287.652                 -196.314              
3300    288.713                 -196.571              
3400    289.746                 -196.843              
3500    290.753                 -197.131              
3600    291.735                 -197.435              
3700    292.694                 -197.758              
3800    293.629                 -198.099              
3900    294.544                 -198.460              
4000    295.437                 -198.842              
4100    296.311                 -199.246              
4200    297.166                 -199.673              
4300    298.004                 -200.124              
4400    298.824                 -200.600              
4500    299.627                 -201.102              
4600    300.415                 -201.631              
4700    301.187                 -202.188              
4800    301.945                 -202.774              
4900    302.689                 -203.391              
5000    303.419                 -204.039              
5100    304.136                 -204.719              
5200    304.841                 -205.433              
5300    305.533                 -206.180              
5400    306.214                 -206.963              
5500    306.884                 -207.783              
5600    307.542                 -208.639              
5700    308.190                 -209.535              
5800    308.828                 -210.469              
5900    309.456                 -211.444              
6000    310.074                 -212.461              
