T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  258.145                 591.982               
300     258.146                 592.013               
350     258.792                 592.876               
400     260.250                 593.746               
450     262.160                 594.615               
500     264.320                 595.476               
600     268.967                 597.154               
700     273.696                 598.749               
800     278.313                 600.239               
900     282.745                 601.600               
1000    286.966                 594.222               
1100    290.975                 595.265               
1200    294.780                 596.301               
1300    298.395                 597.329               
1400    301.831                 470.938               
1500    305.104                 473.299               
1600    308.224                 475.649               
1700    311.205                 477.989               
1800    314.058                 480.320               
1900    316.791                 482.644               
2000    319.414                 484.963               
2100    321.935                 487.278               
2200    324.361                 489.595               
2300    326.698                 491.914               
2400    328.954                 494.240               
2500    331.133                 496.576               
2600    333.239                 498.925               
2700    335.279                 501.289               
2800    337.254                 503.671               
2900    339.171                 506.074               
3000    341.031                 508.497               
3100    342.838                 510.944               
3200    344.595                 513.414               
3300    346.304                 515.907               
3400    347.968                 518.424               
3500    349.590                 520.964               
3600    351.171                 523.525               
3700    352.714                 526.108               
3800    354.220                 528.709               
3900    355.691                 531.328               
4000    357.128                 533.962               
4100    358.534                 536.609               
4200    359.908                 539.267               
4300    361.254                 541.934               
4400    362.572                 544.606               
4500    363.863                 547.283               
4600    365.128                 549.960               
4700    366.369                 552.636               
4800    367.586                 555.308               
4900    368.780                 557.973               
5000    369.952                 560.629               
5100    371.103                 563.274               
5200    372.234                 565.904               
5300    373.345                 568.520               
5400    374.437                 571.116               
5500    375.510                 573.692               
5600    376.567                 576.246               
5700    377.606                 578.775               
5800    378.628                 581.278               
5900    379.635                 583.752               
6000    380.626                 586.196               
