T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  215.330                 512.289               
300     215.331                 512.313               
350     215.732                 512.952               
400     216.635                 513.588               
450     217.819                 514.229               
500     219.162                 514.885               
600     222.084                 516.291               
700     225.123                 517.884               
800     228.179                 519.687               
900     231.207                 521.655               
1000    234.181                 515.109               
1100    237.084                 517.121               
1200    239.902                 519.183               
1300    242.626                 521.226               
1400    245.251                 395.797               
1500    247.772                 399.038               
1600    250.191                 402.175               
1700    252.510                 405.204               
1800    254.731                 408.131               
1900    256.859                 410.960               
2000    258.899                 413.701               
2100    260.855                 416.365               
2200    262.732                 418.961               
2300    264.536                 421.498               
2400    266.269                 423.986               
2500    267.938                 426.432               
2600    269.545                 428.844               
2700    271.095                 431.229               
2800    272.592                 433.590               
2900    274.037                 435.935               
3000    275.436                 438.265               
3100    276.789                 440.585               
3200    278.101                 442.896               
3300    279.372                 445.201               
3400    280.607                 447.501               
3500    281.806                 449.796               
3600    282.971                 452.087               
3700    284.105                 454.373               
3800    285.208                 456.654               
3900    286.284                 458.929               
4000    287.332                 461.197               
4100    288.354                 463.457               
4200    289.352                 465.707               
4300    290.327                 467.944               
4400    291.279                 470.169               
4500    292.210                 472.379               
4600    293.121                 474.571               
4700    294.013                 476.744               
4800    294.885                 478.896               
4900    295.740                 481.026               
5000    296.578                 483.130               
5100    297.400                 485.209               
5200    298.206                 487.258               
5300    298.997                 489.278               
5400    299.773                 491.266               
5500    300.535                 493.222               
5600    301.284                 495.142               
5700    302.020                 497.025               
5800    302.744                 498.870               
5900    303.455                 500.676               
6000    304.155                 502.441               
