T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  154.410                 891.047               
300     154.411                 891.078               
350     154.664                 891.894               
400     155.226                 892.680               
450     155.953                 893.438               
500     156.766                 894.170               
600     158.490                 895.560               
700     160.218                 896.845               
800     161.887                 898.014               
900     163.475                 899.053               
1000    164.976                 891.354               
1100    166.394                 892.080               
1200    167.733                 892.807               
1300    168.999                 893.533               
1400    170.199                 766.850               
1500    171.338                 768.929               
1600    172.422                 771.007               
1700    173.454                 773.086               
1800    174.439                 775.164               
1900    175.382                 777.243               
2000    176.285                 779.321               
2100    177.152                 781.400               
2200    177.985                 783.477               
2300    178.786                 785.555               
2400    179.558                 787.631               
2500    180.304                 789.707               
2600    181.024                 791.780               
2700    181.720                 793.852               
2800    182.394                 795.920               
2900    183.047                 797.984               
3000    183.680                 800.043               
3100    184.295                 802.095               
3200    184.893                 804.140               
3300    185.474                 806.175               
3400    186.039                 808.199               
3500    186.589                 810.210               
3600    187.126                 812.205               
3700    187.649                 814.184               
3800    188.159                 816.144               
3900    188.657                 818.083               
4000    189.144                 819.998               
4100    189.619                 821.887               
4200    190.084                 823.748               
4300    190.539                 825.578               
4400    190.984                 827.377               
4500    191.420                 829.141               
4600    191.847                 830.868               
4700    192.265                 832.556               
4800    192.676                 834.203               
4900    193.078                 835.808               
5000    193.473                 837.368               
5100    193.860                 838.882               
5200    194.241                 840.349               
5300    194.615                 841.767               
5400    194.982                 843.133               
5500    195.343                 844.448               
5600    195.697                 845.710               
5700    196.046                 846.918               
5800    196.390                 848.069               
5900    196.727                 849.165               
6000    197.060                 850.203               
