T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     52.876                  0.                    
200     34.325                  0.                    
250     32.436                  0.                    
298.15  32.010                  0.                    
300     32.010                  0.                    
350     32.336                  0.                    
400     33.072                  0.                    
450     34.043                  0.                    
500     35.152                  0.                    
600     37.559                  0.                    
700     40.039                  0.                    
800     42.498                  0.                    
900     44.896                  0.                    
1000    47.265                  0.                    
1100    49.710                  0.                    
1200    52.037                  0.                    
1300    54.253                  0.                    
1400    56.412                  0.                    
1500    58.631                  0.                    
1600    61.176                  0.                    
1700    63.679                  0.                    
1800    66.055                  0.                    
1900    68.315                  0.                    
2000    70.470                  0.                    
2100    72.530                  0.                    
2200    74.502                  0.                    
2300    76.393                  0.                    
2400    78.211                  224.340               
2500    79.960                  -221.841              
2600    81.645                  -219.353              
2700    83.270                  -216.877              
2800    84.841                  -214.417              
2900    86.360                  -211.977              
3000    87.830                  -209.559              
