T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     52.876                  0.                    
200     34.325                  0.                    
298.15  32.010                  0.                    
300     32.010                  0.                    
400     33.072                  0.                    
500     35.152                  0.                    
600     37.559                  0.                    
700     40.039                  0.                    
800     42.498                  0.                    
900     44.896                  0.                    
1000    47.265                  0.                    
1100    49.710                  0.                    
1200    52.037                  0.                    
1300    54.253                  0.                    
1400    56.412                  0.                    
1500    58.631                  0.                    
1600    61.176                  0.                    
1700    63.679                  0.                    
1800    66.055                  0.                    
1900    68.315                  0.                    
2000    70.470                  0.                    
2100    72.530                  0.                    
2200    74.502                  0.                    
2300    76.393                  0.                    
2400    80.842                  0.                    
2500    86.309                  0.                    
2600    91.388                  0.                    
2700    96.121                  0.                    
2800    100.545                 0.                    
2900    104.689                 0.                    
3000    108.583                 0.                    
3100    112.248                 0.                    
3200    115.708                 0.                    
3300    118.978                 0.                    
3400    122.077                 0.                    
3500    125.019                 0.                    
3600    127.816                 0.                    
3700    130.480                 0.                    
3800    133.022                 0.                    
3900    135.451                 0.                    
4000    137.776                 0.                    
4200    142.141                 0.                    
4400    146.171                 0.                    
4600    149.912                 0.                    
4800    153.399                 0.                    
5000    156.666                 0.                    
5200    159.739                 0.                    
5400    162.641                 0.                    
5600    165.382                 0.                    
5800    167.993                 0.                    
6000    170.483                 0.                    
