T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  273.807                 -510.114              
300     273.811                 -509.991              
400     280.703                 -503.548              
500     293.719                 497.452               
600     308.294                 -491.576              
700     322.908                 -485.856              
800     337.017                 -480.253              
900     350.438                 -474.748              
1000    363.131                 -469.329              
1100    375.117                 -463.995              
1200    386.438                 -458.745              
