T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  180.669                 580.805               
300     180.669                 580.761               
350     180.923                 579.547               
400     181.485                 578.305               
450     182.212                 577.040               
500     183.024                 575.757               
600     184.748                 573.140               
700     186.477                 570.467               
800     188.146                 567.746               
900     189.733                 564.980               
1000    191.235                 562.167               
1100    192.653                 559.304               
1200    193.992                 556.386               
1300    195.258                 553.405               
1400    196.458                 550.355               
1500    197.597                 547.230               
1600    198.680                 544.023               
1700    199.713                 540.727               
1800    200.698                 537.336               
1900    201.641                 533.842               
2000    202.544                 530.235               
2100    203.410                 526.509               
2200    204.243                 522.653               
2300    205.045                 518.658               
2400    205.817                 514.515               
2500    206.562                 510.212               
2600    207.282                 505.726               
2700    207.979                 501.019               
2800    208.652                 496.028               
2900    209.306                 454.787               
3000    209.939                 451.022               
3100    210.554                 447.256               
3200    211.151                 443.490               
3300    211.732                 439.725               
3400    212.298                 435.959               
3500    212.848                 432.194               
3600    213.384                 428.428               
3700    213.907                 424.662               
3800    214.418                 420.897               
3900    214.916                 417.131               
4000    215.402                 413.366               
4100    215.878                 409.600               
4200    216.343                 405.834               
4300    216.797                 402.069               
4400    217.243                 398.303               
4500    217.678                 394.538               
4600    218.105                 390.772               
4700    218.524                 387.006               
4800    218.934                 383.241               
4900    219.336                 379.475               
5000    219.731                 -215.675              
5100    220.118                 -221.120              
5200    220.498                 -226.712              
5300    220.872                 -232.447              
5400    221.239                 -238.325              
5500    221.599                 -244.342              
5600    221.954                 -250.498              
5700    222.302                 -256.788              
5800    222.645                 -263.210              
5900    222.982                 -269.760              
6000    223.314                 -276.437              
