T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  197.660                 1509.499              
300     197.660                 1509.538              
400     198.804                 1511.620              
500     200.973                 1513.711              
600     203.418                 1515.812              
700     205.890                 1517.922              
800     208.302                 1520.037              
900     210.620                 1522.155              
1000    212.836                 1524.275              
1100    214.951                 1526.395              
1200    216.968                 1528.515              
1300    218.894                 1530.637              
1400    220.736                 1532.763              
1500    222.498                 1534.895              
1600    224.188                 1537.037              
1700    225.811                 1539.193              
1800    227.372                 1541.365              
1900    228.876                 1543.559              
2000    230.327                 1545.776              
2100    231.729                 1548.022              
2200    233.086                 1550.298              
2300    234.401                 1552.607              
2400    235.676                 1554.951              
2500    236.916                 1557.330              
2600    238.121                 1559.746              
2700    239.294                 1562.200              
2800    240.437                 1564.690              
2900    241.552                 1567.216              
3000    242.641                 1569.778              
3100    243.705                 1572.374              
3200    244.745                 1575.002              
3300    245.762                 1577.661              
3400    246.758                 1580.348              
3500    247.734                 1583.062              
3600    248.690                 1585.801              
3700    249.628                 1588.561              
3800    250.548                 1591.342              
3900    251.451                 1594.141              
4000    252.337                 1596.957              
4100    253.207                 1599.786              
4200    254.063                 1602.627              
4300    254.903                 1605.478              
4400    255.730                 1608.338              
4500    256.543                 1611.205              
4600    257.342                 1614.078              
4700    258.129                 1616.954              
4800    258.903                 1619.832              
4900    259.665                 1622.711              
5000    260.415                 1625.591              
5100    261.154                 1628.469              
5200    261.881                 1631.345              
5300    262.598                 1634.218              
5400    263.305                 1637.087              
5500    264.001                 1639.952              
5600    264.687                 1642.812              
5700    265.364                 1645.666              
5800    266.031                 1648.513              
5900    266.689                 1651.353              
6000    267.338                 1654.184              
