T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     163.795                 -311.523              
200     103.140                 -314.638              
298.15  94.860                  -314.553              
300     94.861                  -314.558              
400     98.467                  -314.054              
500     106.407                 -309.363              
600     115.701                 -308.920              
700     124.764                 -307.429              
800     133.577                 -304.904              
900     142.155                 -301.346              
1000    150.517                 -296.853              
1100    158.672                 -291.583              
1200    166.625                 -285.636              
1300    174.376                 -279.347              
1400    181.921                 -272.549              
1500    189.273                 -265.232              
