T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     288.193                 75.048                
200     256.603                 72.715                
250     253.366                 71.797                
298.15  252.619                 71.128                
300     252.620                 71.106                
350     253.211                 70.637                
400     254.579                 70.359                
450     256.420                 70.240                
500     258.555                 70.246                
600     263.295                 70.527                
700     268.286                 71.042                
800     273.296                 71.691                
900     278.211                 72.417                
1000    282.979                 73.186                
1100    287.576                 73.977                
1200    291.994                 74.776                
1300    296.236                 75.576                
1400    300.306                 76.371                
1500    304.213                 77.155                
1600    307.965                 77.925                
1700    311.571                 78.678                
1800    315.040                 79.411                
1900    318.381                 80.122                
2000    321.602                 80.809                
2100    324.709                 81.472                
2200    327.711                 82.108                
2300    330.613                 82.717                
2400    333.421                 83.298                
2500    336.141                 83.851                
2600    338.778                 84.376                
2700    341.337                 84.873                
2800    343.822                 85.343                
2900    346.236                 85.785                
3000    348.584                 86.200                
3100    350.869                 86.590                
3200    353.095                 86.954                
3300    355.263                 87.293                
3400    357.378                 87.608                
3500    359.441                 87.901                
3600    361.455                 88.171                
3700    363.422                 88.419                
3800    365.345                 88.647                
3900    367.224                 88.854                
4000    369.063                 89.042                
4100    370.862                 89.210                
4200    372.624                 89.360                
4300    374.349                 89.491                
4400    376.040                 89.603                
4500    377.697                 89.698                
4600    379.323                 89.774                
4700    380.917                 89.831                
4800    382.482                 89.869                
4900    384.018                 89.887                
5000    385.527                 89.886                
5100    387.009                 89.863                
5200    388.465                 89.819                
5300    389.896                 89.753                
5400    391.303                 89.662                
5500    392.687                 89.547                
5600    394.049                 89.406                
5700    395.388                 89.237                
5800    396.707                 89.040                
5900    398.005                 88.811                
6000    399.283                 88.550                
