T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     252.668                 -1379.841             
200     165.992                 -1383.300             
298.15  154.908                 -1384.854             
300     154.911                 -1384.870             
400     160.231                 -1392.687             
500     170.966                 -1392.829             
600     183.916                 -1390.103             
700     197.935                 -1384.508             
800     212.505                 -1376.164             
900     227.366                 -1418.266             
1000    242.376                 -1403.389             
