T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  286.058                 -3246.472             
300     286.062                 -3246.447             
400     294.813                 -3252.764             
500     311.917                 -3250.608             
600     331.649                 -3247.240             
700     352.020                 -3246.799             
800     372.260                 -3235.719             
900     392.856                 3218.933              
1000    413.737                 -3213.029             
1100    434.423                 -3196.537             
1200    454.661                 -3470.530             
1300    474.324                 3451.697              
1400    493.354                 -3432.929             
1500    511.731                 -3414.220             
1600    529.460                 -3395.566             
1700    546.559                 -3376.962             
1800    563.051                 -3358.402             
1900    578.964                 -3339.880             
2000    594.327                 -3321.387             
2100    609.169                 -3302.915             
2200    623.518                 -3284.455             
2300    637.401                 -3265.996             
2400    650.844                 -3247.531             
2500    663.871                 -3229.049             
2600    676.505                 -3210.544             
2700    688.766                 -3192.008             
2800    700.675                 -3467.335             
2900    712.250                 -3447.624             
3000    723.507                 -3427.867             
