T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     333.819                 -646.448              
200     292.357                 -647.523              
250     288.189                 -648.025              
298.15  287.248                 -648.520              
300     287.249                 -648.540              
350     287.970                 -649.107              
400     289.604                 -652.388              
450     291.759                 -653.069              
500     294.211                 -653.733              
600     299.533                 -655.015              
700     305.009                 -656.247              
800     310.412                 -657.448              
900     315.645                 -658.636              
1000    320.672                 -659.836              
1100    325.482                 -661.070              
1200    330.079                 -759.123              
1300    334.472                 -759.563              
1400    338.671                 -760.027              
1500    342.688                 -760.516              
1600    346.537                 -761.034              
1700    350.227                 -761.584              
1800    353.771                 -762.169              
1900    357.178                 -762.790              
2000    360.458                 -763.450              
2100    363.619                 -764.150              
2200    366.668                 -764.894              
2300    369.614                 -765.681              
2400    372.462                 -816.774              
2500    375.218                 -817.733              
2600    377.888                 -818.708              
2700    380.478                 -819.700              
2800    382.991                 -820.711              
2900    385.431                 -821.743              
3000    387.804                 -822.798              
3100    390.112                 -823.876              
3200    392.359                 -824.979              
3300    394.547                 -826.107              
3400    396.680                 -827.264              
3500    398.761                 -828.451              
3600    400.791                 -829.668              
3700    402.774                 -830.919              
3800    404.711                 -832.205              
3900    406.605                 -833.527              
4000    408.456                 -834.889              
4100    410.268                 -836.292              
4200    412.042                 -1317.585             
4300    413.779                 -1317.991             
4400    415.480                 -1318.406             
4500    417.148                 -1318.893             
4600    418.783                 -1319.443             
4700    420.387                 -1320.051             
4800    421.961                 -1320.719             
4900    423.505                 -1321.451             
5000    425.022                 -1322.243             
5100    426.512                 -1323.111             
5200    427.976                 -1324.054             
5300    429.414                 -1325.075             
5400    430.828                 -1326.178             
5500    432.219                 -1327.366             
5600    433.587                 -1328.643             
5700    434.933                 -1330.012             
5800    436.257                 -1331.478             
5900    437.561                 -1333.043             
6000    438.845                 -1334.552             
