T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     272.441                 -134.812              
200     244.505                 -136.379              
250     241.813                 -137.340              
298.15  241.218                 -143.930              
300     241.219                 -143.984              
350     241.663                 -159.936              
400     242.653                 -163.178              
450     243.937                 -163.808              
500     245.379                 -164.411              
600     248.447                 -165.545              
700     251.536                 -166.604              
800     254.529                 -167.612              
900     257.383                 -168.592              
1000    260.089                 -169.565              
1100    262.649                 -170.553              
1200    265.073                 -268.339              
1300    267.369                 -268.487              
1400    269.547                 -268.631              
1500    271.619                 -268.770              
1600    273.592                 -268.907              
1700    275.476                 -269.041              
1800    277.276                 -269.173              
1900    279.000                 -269.305              
2000    280.655                 -269.438              
2100    282.244                 -269.573              
2200    283.774                 -269.711              
2300    285.247                 -269.854              
2400    286.669                 -270.002              
2500    288.043                 -270.158              
2600    289.371                 -270.321              
2700    290.658                 -270.492              
2800    291.904                 -270.674              
2900    293.114                 -270.865              
3000    294.288                 -271.066              
3100    295.430                 -271.279              
3200    296.540                 -271.502              
3300    297.621                 -271.737              
3400    298.673                 -271.985              
3500    299.700                 -272.246              
3600    300.701                 -272.519              
3700    301.678                 -272.807              
3800    302.632                 -273.110              
3900    303.565                 -273.429              
4000    304.477                 -273.766              
4100    305.369                 -274.121              
4200    306.243                 -274.494              
4300    307.098                 -274.892              
4400    307.936                 -275.271              
4500    308.757                 -275.695              
4600    309.562                 -276.153              
4700    310.352                 -276.638              
4800    311.128                 -277.153              
4900    311.889                 -277.700              
5000    312.636                 -278.273              
5100    313.371                 -278.888              
5200    314.093                 -279.543              
5300    314.802                 -280.239              
5400    315.500                 -280.979              
5500    316.187                 -281.766              
5600    316.862                 -282.601              
5700    317.527                 -283.488              
5800    318.182                 -284.428              
5900    318.826                 -285.424              
6000    319.461                 -286.319              
