T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     260.320                 -179.858              
200     233.022                 -180.592              
250     230.379                 -180.993              
298.15  229.793                 -181.418              
300     229.794                 -181.436              
350     230.231                 -181.945              
400     231.209                 -185.167              
450     232.479                 -185.781              
500     233.906                 -186.370              
600     236.946                 -187.483              
700     240.010                 -188.528              
800     242.980                 -189.526              
900     245.815                 -190.499              
1000    248.503                 -191.468              
1100    251.049                 -192.454              
1200    253.458                 -290.239              
1300    255.741                 -290.387              
1400    257.909                 -290.532              
1500    259.969                 -290.673              
1600    261.933                 -290.811              
1700    263.806                 -290.945              
1800    265.598                 -291.076              
1900    267.313                 -291.205              
2000    268.959                 -291.332              
2100    270.541                 -291.458              
2200    272.063                 -291.585              
2300    273.529                 -291.712              
2400    274.944                 -291.843              
2500    276.311                 -291.978              
2600    277.633                 -292.118              
2700    278.913                 -292.266              
2800    280.153                 -292.422              
2900    281.356                 -292.589              
3000    282.524                 -292.768              
3100    283.660                 -292.960              
3200    284.764                 -293.167              
3300    285.839                 -293.389              
3400    286.886                 -293.629              
3500    287.907                 -293.886              
3600    288.902                 -294.162              
3700    289.874                 -294.459              
3800    290.823                 -294.777              
3900    291.750                 -295.116              
4000    292.657                 -295.480              
4100    293.544                 -295.868              
4200    294.412                 -296.280              
4300    295.262                 -296.721              
4400    296.094                 -297.148              
4500    296.911                 -297.625              
4600    297.711                 -298.139              
4700    298.496                 -298.684              
4800    299.266                 -299.260              
4900    300.022                 -299.871              
5000    300.765                 -300.509              
5100    301.494                 -301.191              
5200    302.211                 -301.912              
5300    302.916                 -302.674              
5400    303.609                 -303.479              
5500    304.290                 -304.329              
5600    304.961                 -305.227              
5700    305.621                 -306.173              
5800    306.271                 -307.170              
5900    306.911                 -308.220              
6000    307.541                 -309.167              
