T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  47.302                  29.647                
300     47.302                  29.647                
350     47.605                  29.647                
400     48.281                  29.647                
450     49.160                  29.647                
500     50.149                  29.647                
600     52.263                  29.647                
700     54.403                  29.647                
800     56.487                  29.647                
900     58.486                  29.647                
1000    60.393                  29.647                
1100    62.208                  29.647                
1200    63.936                  29.647                
1300    65.583                  29.647                
1400    67.155                  29.647                
1500    68.658                  29.647                
1600    70.099                  29.647                
1700    71.483                  29.647                
1800    72.816                  29.734                
1900    74.106                  29.854                
2000    75.355                  29.899                
2100    76.565                  29.861                
2200    77.737                  29.736                
2300    78.874                  29.515                
2400    79.976                  29.188                
2500    81.046                  28.740                
2600    82.085                  28.148                
2700    83.095                  27.372                
2800    84.077                  0.                    
2900    85.033                  0.                    
3000    85.963                  0.                    
3100    86.870                  0.                    
3200    87.753                  0.                    
3300    88.615                  0.                    
3400    89.456                  0.                    
3500    90.276                  0.                    
3600    91.078                  0.                    
3700    91.862                  0.                    
3800    92.628                  0.                    
3900    93.377                  0.                    
4000    94.111                  0.                    
4100    94.829                  0.                    
4200    95.532                  0.                    
4300    96.221                  0.                    
4400    96.897                  0.                    
4500    97.559                  0.                    
4600    98.209                  0.                    
4700    98.847                  0.                    
4800    99.473                  0.                    
4900    100.087                 0.                    
5000    100.691                 0.                    
5100    101.284                 0.                    
5200    101.867                 690.672               
5300    102.440                 -691.004              
5400    103.004                 -691.309              
5600    104.103                 -692.094              
5800    105.168                 -692.992              
6000    106.201                 -694.007              
