T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  186.481                 -301.115              
300     186.484                 -301.122              
400     193.130                 -310.469              
500     206.155                 -316.421              
600     221.326                 -320.495              
700     237.133                 -322.315              
800     252.969                 -321.447              
900     268.581                 -531.454              
1000    283.865                 -522.601              
1100    298.787                 -512.576              
