T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  71.965                  -131.378              
300     71.966                  -131.379              
400     74.763                  -136.131              
500     80.112                  -139.577              
600     86.186                  -142.439              
700     92.363                  -144.663              
800     98.410                  -146.172              
900     104.241                 -253.607              
1000    109.830                 -252.093              
1100    115.179                 -250.470              
1200    120.298                 -248.744              
1300    125.995                 -181.052              
1400    134.318                 -179.283              
1500    141.965                 -177.635              
1600    149.035                 -176.111              
1700    155.609                 -174.715              
1800    161.749                 -190.600              
