T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     392.051                 -557.121              
200     332.888                 -559.135              
250     326.826                 -559.553              
298.15  325.454                 -559.819              
300     325.456                 -559.828              
350     326.507                 -560.724              
400     328.886                 -560.889              
450     332.016                 -560.969              
500     335.569                 -560.982              
600     343.246                 -560.865              
700     351.098                 -560.616              
800     358.797                 -560.283              
900     366.211                 -559.894              
1000    373.295                 -559.467              
1100    380.041                 -559.016              
1200    386.458                 -622.120              
1300    392.564                 -620.869              
1400    398.380                 -619.619              
1500    403.926                 -618.373              
1600    409.221                 -617.133              
1700    414.286                 -615.904              
1800    419.137                 -614.688              
1900    423.790                 -613.487              
2000    428.259                 -612.303              
2100    432.557                 -611.140              
2200    436.697                 -610.000              
2300    440.689                 -608.886              
2400    444.542                 -607.800              
2500    448.267                 -606.745              
2600    451.870                 -605.723              
2700    455.359                 -604.736              
2800    458.742                 -603.784              
2900    462.023                 -602.869              
3000    465.210                 -601.992              
3100    468.307                 -601.151              
3200    471.319                 -600.346              
3300    474.250                 -599.576              
3400    477.105                 -598.838              
3500    479.887                 -598.130              
3600    482.600                 -597.449              
3700    485.247                 -596.791              
3800    487.832                 -596.154              
3900    490.357                 -595.533              
4000    492.825                 -594.925              
4100    495.238                 -594.325              
4200    497.599                 -593.730              
4300    499.910                 -593.135              
4400    502.173                 -592.538              
4500    504.389                 -591.933              
4600    506.562                 -591.317              
4700    508.692                 -590.688              
4800    510.781                 -590.042              
4900    512.830                 -589.376              
5000    514.842                 -588.689              
5100    516.817                 -587.977              
5200    518.757                 -587.238              
5300    520.663                 -586.471              
5400    522.536                 -585.675              
5500    524.377                 -584.849              
5600    526.188                 -583.990              
5700    527.968                 -583.100              
5800    529.720                 -582.177              
5900    531.445                 -581.220              
6000    533.142                 -580.231              
