T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     332.858                 -921.961              
200     290.111                 -923.776              
250     285.687                 -924.409              
298.15  284.678                 -924.873              
300     284.679                 -924.889              
350     285.460                 -925.259              
400     287.237                 -925.555              
450     289.587                 -925.801              
500     292.265                 -926.017              
600     298.079                 -926.401              
700     304.049                 -926.765              
800     309.920                 -927.126              
900     315.585                 -927.535              
1000    321.005                 -928.067              
1100    326.171                 -928.793              
1200    331.090                 -933.705              
1300    335.773                 -934.112              
1400    340.235                 -934.608              
1500    344.491                 -935.210              
1600    348.557                 -935.931              
1700    352.446                 -936.785              
1800    356.172                 -937.785              
1900    359.746                 -938.944              
2000    363.180                 -954.959              
2100    366.483                 -957.216              
2200    369.664                 -959.481              
2300    372.732                 -961.751              
2400    375.694                 -964.022              
2500    378.556                 -966.291              
2600    381.326                 -968.555              
2700    384.009                 -970.811              
2800    386.609                 -973.055              
2900    389.132                 -975.284              
3000    391.582                 -977.496              
3100    393.963                 -979.689              
3200    396.278                 -981.860              
3300    398.532                 -984.008              
3400    400.727                 -986.131              
3500    402.867                 -988.229              
3600    404.953                 -990.299              
3700    406.989                 -1401.440             
3800    408.976                 -1402.221             
3900    410.918                 -1403.028             
4000    412.816                 -1403.861             
4100    414.672                 -1404.718             
4200    416.487                 -1405.598             
4300    418.264                 -1406.500             
4400    420.005                 -1407.422             
4500    421.709                 -1408.362             
4600    423.380                 -1409.320             
4700    425.018                 -1410.295             
4800    426.625                 -1411.285             
4900    428.201                 -1412.290             
5000    429.748                 -1413.307             
5100    431.267                 -1414.336             
5200    432.759                 -1415.377             
5300    434.225                 -1416.428             
5400    435.666                 -1417.489             
5500    437.082                 -1418.558             
5600    438.474                 -1419.635             
5700    439.844                 -1420.720             
5800    441.191                 -1421.812             
5900    442.518                 -1422.910             
6000    443.823                 -1424.014             
