T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  319.265                 -151.042              
300     319.268                 -151.059              
400     325.340                 -162.377              
500     336.806                 -169.211              
600     349.646                 -175.015              
700     362.520                 -180.105              
800     374.950                 -184.788              
900     386.773                 -348.607              
1000    397.955                 -349.225              
1100    408.514                 -349.889              
1200    418.487                 -604.888              
1300    427.920                 -602.546              
1400    436.856                 -600.270              
1500    445.339                 -598.056              
1600    453.407                 -595.902              
1700    461.095                 -593.803              
1800    468.435                 -591.757              
1900    475.456                 -589.760              
2000    482.182                 -587.808              
2100    488.636                 -585.898              
2200    494.839                 -584.027              
2300    500.808                 -582.191              
2400    506.560                 -580.389              
2500    512.111                 -578.619              
2600    517.472                 -576.875              
2700    522.657                 -575.157              
2800    527.677                 -573.463              
2900    532.541                 -571.792              
3000    537.258                 -570.142              
3100    541.838                 -568.512              
3200    546.288                 -566.900              
3300    550.615                 -565.307              
3400    554.825                 -563.732              
3500    558.924                 -562.175              
3600    562.919                 -560.635              
3700    566.814                 -559.113              
3800    570.614                 -557.609              
3900    574.324                 -556.123              
4000    577.948                 -554.655              
4100    581.489                 -553.207              
4200    584.951                 -551.778              
4300    588.338                 -550.369              
4400    591.653                 -548.981              
4500    594.899                 -547.615              
4600    598.079                 -546.270              
4700    601.195                 -544.948              
4800    604.249                 -543.650              
4900    607.245                 -542.375              
5000    610.184                 -541.124              
5100    613.069                 -539.898              
5200    615.901                 -538.698              
5300    618.682                 -537.523              
5400    621.415                 -536.375              
5500    624.100                 -535.253              
5600    626.739                 -534.157              
5700    629.335                 -533.088              
5800    631.888                 -532.046              
5900    634.399                 -531.031              
6000    636.871                 -530.044              
