T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     362.483                 -1587.974             
200     307.973                 -1592.132             
250     302.158                 -1593.450             
298.15  300.810                 -1594.409             
300     300.811                 -1594.441             
350     301.878                 -1595.891             
400     304.337                 -1596.474             
450     307.629                 -1596.864             
500     311.423                 -1597.100             
600     319.771                 -1597.234             
700     328.471                 -1597.051             
800     337.124                 -1596.660             
900     345.549                 -1596.127             
1000    353.669                 -1595.500             
1100    361.456                 -1594.808             
1200    368.906                 -1657.647             
1300    376.031                 -1656.113             
1400    382.844                 -1654.570             
1500    389.364                 -1653.027             
1600    395.610                 -1651.488             
1700    401.599                 -1649.958             
1800    407.348                 -1648.435             
1900    412.875                 -1646.919             
2000    418.193                 -1645.406             
2100    423.317                 -1643.891             
2200    428.260                 -1642.367             
2300    433.032                 -1640.827             
2400    437.645                 -1639.264             
2500    442.109                 -1637.670             
2600    446.432                 -1636.036             
2700    450.623                 -1634.356             
2800    454.688                 -1632.622             
2900    458.637                 -1630.828             
3000    462.473                 -1628.968             
3100    466.205                 -1627.036             
3200    469.836                 -1625.030             
3300    473.373                 -1622.944             
3400    476.819                 -1620.777             
3500    480.180                 -1618.525             
3600    483.459                 -1616.188             
3700    486.660                 -1613.765             
3800    489.788                 -1611.254             
3900    492.844                 -1608.657             
4000    495.832                 -1605.972             
4100    498.755                 -1603.202             
4200    501.616                 -1600.346             
4300    504.418                 -1597.407             
4400    507.162                 -1594.384             
4500    509.851                 -1591.281             
4600    512.487                 -1588.099             
4700    515.073                 -1584.839             
4800    517.610                 -1581.503             
4900    520.099                 -1578.094             
5000    522.543                 -1574.613             
5100    524.943                 -1571.062             
5200    527.301                 -1567.443             
5300    529.619                 -1563.759             
5400    531.896                 -1560.011             
5500    534.136                 -1556.201             
5600    536.339                 -1552.332             
5700    538.506                 -1548.404             
5800    540.638                 -1544.420             
5900    542.737                 -1540.382             
6000    544.804                 -1536.291             
