T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     450.202                 -256.873              
200     381.258                 -260.454              
250     374.371                 -262.360              
298.15  372.828                 -281.052              
300     372.829                 -281.172              
350     373.998                 -328.424              
400     376.624                 -330.972              
450     380.056                 -331.945              
500     383.930                 -332.943              
600     392.234                 -334.408              
700     400.652                 -335.536              
800     408.847                 -336.468              
900     416.693                 -390.405              
1000    424.152                 -389.916              
1100    431.225                 -389.427              
1200    437.929                 -452.515              
1300    444.289                 -451.267              
1400    450.329                 -450.038              
1500    456.076                 -448.833              
1600    461.552                 -447.652              
1700    466.779                 -446.498              
1800    471.777                 -445.374              
1900    476.563                 -444.283              
2000    481.155                 -443.227              
2100    485.565                 -442.207              
2200    489.808                 -441.227              
2300    493.895                 -440.286              
2400    497.837                 -439.387              
2500    501.643                 -438.530              
2600    505.322                 -437.714              
2700    508.883                 -436.937              
2800    512.332                 -436.198              
2900    515.676                 -435.495              
3000    518.921                 -434.825              
3100    522.072                 -434.184              
3200    525.136                 -433.569              
3300    528.116                 -432.975              
3400    531.017                 -432.400              
3500    533.843                 -431.839              
3600    536.598                 -431.288              
3700    539.285                 -430.743              
3800    541.907                 -430.201              
3900    544.467                 -429.657              
4000    546.969                 -429.109              
4100    549.415                 -428.553              
4200    551.807                 -427.987              
4300    554.147                 -427.407              
4400    556.438                 -426.813              
4500    558.682                 -426.202              
4600    560.881                 -425.571              
4700    563.036                 -424.921              
4800    565.149                 -424.249              
4900    567.221                 -423.555              
5000    569.255                 -422.837              
5100    571.252                 -422.095              
5200    573.212                 -421.330              
5300    575.138                 -420.540              
5400    577.030                 -419.725              
5500    578.889                 -418.885              
5600    580.718                 -418.021              
5700    582.516                 -417.133              
5800    584.284                 -416.221              
5900    586.025                 -415.285              
6000    587.738                 -414.326              
