T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  169.124                 238.717               
300     169.124                 238.676               
350     169.393                 236.801               
400     169.986                 235.534               
450     170.750                 234.257               
500     171.600                 232.974               
600     173.394                 230.393               
700     175.184                 227.798               
800     176.904                 225.195               
900     178.535                 222.586               
1000    180.074                 219.974               
1100    181.525                 217.361               
1200    182.892                 151.176               
1300    184.184                 149.342               
1400    185.408                 147.508               
1500    186.568                 145.676               
1600    187.672                 143.849               
1700    188.725                 142.028               
1800    189.730                 140.214               
1900    190.692                 138.409               
2000    191.615                 136.612               
2100    192.501                 134.826               
2200    193.354                 133.048               
2300    194.177                 131.280               
2400    194.970                 129.522               
2500    195.738                 127.772               
2600    196.480                 126.030               
2700    197.199                 124.296               
2800    197.897                 122.570               
2900    198.574                 120.850               
3000    199.232                 119.136               
3100    199.872                 117.427               
3200    200.495                 115.724               
3300    201.101                 114.024               
3400    201.693                 112.328               
3500    202.269                 110.636               
3600    202.832                 108.946               
3700    203.382                 107.258               
3800    203.919                 105.571               
3900    204.445                 103.886               
4000    204.958                 102.201               
4100    205.461                 100.517               
4200    205.953                 98.834                
4300    206.435                 97.149                
4400    206.908                 95.465                
4500    207.371                 93.779                
4600    207.825                 92.093                
4700    208.270                 90.405                
4800    208.708                 88.716                
4900    209.137                 87.025                
5000    209.558                 85.332                
5100    209.972                 83.637                
5200    210.379                 81.940                
5300    210.779                 80.241                
5400    211.172                 78.539                
5500    211.558                 76.835                
5600    211.938                 75.128                
5700    212.312                 73.419                
5800    212.680                 71.707                
5900    213.043                 69.992                
6000    213.399                 68.274                
