T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     388.803                 -88.428               
200     344.558                 -90.518               
250     340.321                 -91.839               
298.15  339.386                 -104.391              
300     339.388                 -104.475              
350     340.082                 -135.624              
400     341.629                 -135.960              
450     343.632                 -136.320              
500     345.876                 -136.704              
600     350.644                 -137.531              
700     355.434                 -143.300              
800     360.065                 -144.271              
900     364.475                 -145.216              
1000    368.649                 -146.138              
1100    372.593                 -147.036              
1200    376.321                 -147.911              
1300    379.848                 -148.770              
1400    383.191                 -149.628              
1500    386.365                 -150.497              
1600    389.385                 -151.384              
1700    392.264                 -152.294              
1800    395.013                 -153.234              
1900    397.642                 -154.206              
2000    400.162                 -155.215              
2100    402.581                 -333.483              
2200    404.905                 -334.182              
2300    407.143                 -334.991              
2400    409.299                 -335.912              
2500    411.380                 -336.947              
2600    413.390                 -338.096              
2700    415.335                 -339.354              
2800    417.217                 -340.719              
2900    419.042                 -342.183              
3000    420.811                 -343.740              
3100    422.529                 -345.382              
3200    424.198                 -347.100              
3300    425.822                 -348.884              
3400    427.401                 -350.726              
3500    428.940                 -352.614              
3600    430.439                 -354.541              
3700    431.900                 -356.496              
3800    433.326                 -358.471              
3900    434.719                 -360.459              
4000    436.079                 -362.450              
4100    437.408                 -364.438              
4200    438.707                 -366.418              
4300    439.979                 -368.382              
4400    441.223                 -370.327              
4500    442.441                 -372.247              
4600    443.635                 -374.139              
4700    444.805                 -376.000              
4800    445.951                 -377.826              
4900    447.076                 -379.616              
5000    448.180                 -381.368              
5100    449.263                 -383.081              
5200    450.326                 -384.754              
5300    451.370                 -386.386              
5400    452.396                 -387.977              
5500    453.405                 -389.527              
5600    454.396                 -391.036              
5700    455.370                 -392.506              
5800    456.329                 -393.937              
5900    457.272                 -395.328              
6000    458.200                 -396.682              
