T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  173.878                 -267.412              
300     173.879                 -267.455              
400     177.023                 -296.617              
500     183.715                 -291.910              
600     191.939                 -287.305              
700     200.496                 -287.652              
800     208.923                 -283.209              
900     217.038                 -278.745              
1000    224.779                 -274.261              
1100    232.134                 -269.755              
1200    239.113                 -265.228              
1300    245.739                 -260.686              
1400    252.034                 -256.145              
1500    258.025                 -251.615              
1600    263.734                 -247.104              
1700    269.184                 -242.617              
1800    274.396                 -238.159              
1900    279.386                 -233.735              
2000    284.173                 -229.347              
