T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  130.927                 -660.320              
300     130.928                 -660.290              
400     133.873                 -658.685              
500     139.517                 -657.040              
600     145.951                 -655.286              
700     152.522                 -658.249              
800     159.176                 -653.956              
900     165.871                 -649.675              
1000    172.444                 -645.399              
1100    178.815                 -641.123              
1200    184.954                 636.843               
1300    190.848                 -632.563              
1400    196.502                 -628.296              
1500    201.922                 -624.050              
