T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  181.137                 916.996               
300     181.138                 917.024               
350     181.391                 917.749               
400     181.953                 918.452               
450     182.680                 919.134               
500     183.493                 919.795               
600     185.217                 921.064               
700     186.945                 917.399               
800     188.614                 918.539               
900     190.202                 919.711               
1000    191.703                 920.913               
1100    193.121                 922.146               
1200    194.460                 923.409               
1300    195.726                 924.696               
1400    196.926                 925.991               
1500    198.065                 927.284               
1600    199.149                 928.569               
1700    200.181                 929.842               
1800    201.167                 931.100               
1900    202.109                 932.340               
2000    203.013                 933.563               
2100    203.880                 757.547               
2200    204.713                 759.123               
2300    205.516                 760.616               
2400    206.289                 762.024               
2500    207.036                 763.347               
2600    207.757                 764.588               
2700    208.456                 765.751               
2800    209.133                 766.839               
2900    209.789                 767.858               
3000    210.427                 768.816               
3100    211.046                 769.719               
3200    211.649                 770.576               
3300    212.236                 771.392               
3400    212.809                 772.178               
3500    213.367                 772.939               
3600    213.912                 773.684               
3700    214.445                 774.420               
3800    214.966                 775.152               
3900    215.476                 775.888               
4000    215.975                 776.632               
4100    216.464                 777.389               
4200    216.944                 778.164               
4300    217.414                 778.960               
4400    217.876                 779.782               
4500    218.329                 780.630               
4600    218.774                 781.508               
4700    219.212                 782.418               
4800    219.643                 783.360               
4900    220.066                 784.335               
5000    220.483                 785.344               
5100    220.894                 786.388               
5200    221.298                 787.465               
5300    221.696                 788.576               
5400    222.088                 789.720               
5500    222.475                 790.896               
5600    222.857                 792.103               
5700    223.233                 793.340               
5800    223.604                 794.606               
5900    223.970                 795.900               
6000    224.332                 797.219               
