T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     358.027                 -1212.486             
200     299.562                 -1217.637             
250     293.063                 -1219.327             
298.15  291.535                 -1220.473             
300     291.537                 -1220.509             
350     292.763                 -1221.297             
400     295.610                 -1224.003             
450     299.441                 -1224.938             
500     303.873                 -1225.747             
600     313.667                 -1226.504             
700     323.907                 -1226.624             
800     334.114                 -1226.352             
900     344.068                 -1278.955             
1000    353.670                 -1277.044             
1100    362.885                 -1275.073             
1200    371.707                 -1273.069             
1300    380.147                 -1271.051             
1400    388.220                 -1269.035             
1500    395.948                 -1267.030             
1600    403.352                 -1265.042             
1700    410.453                 -1263.075             
1800    417.271                 -1261.130             
1900    423.825                 -1259.203             
2000    430.134                 -1257.289             
2100    436.212                 -1255.382             
2200    442.076                 -1253.473             
2300    447.738                 -1251.553             
2400    453.211                 -1249.612             
2500    458.507                 -1247.639             
2600    463.637                 -1245.625             
2700    468.610                 -1243.560             
2800    473.435                 -1241.434             
2900    478.120                 -1239.240             
3000    482.674                 -1236.970             
3100    487.102                 -1234.619             
3200    491.412                 -1232.180             
3300    495.610                 -1229.649             
3400    499.700                 -1227.022             
3500    503.689                 -1224.298             
3600    507.582                 -1221.473             
3700    511.381                 -1218.547             
3800    515.093                 -1215.520             
3900    518.721                 -1212.391             
4000    522.268                 -1209.161             
4100    525.738                 -1205.831             
4200    529.134                 -1202.403             
4300    532.460                 -1198.877             
4400    535.718                 -1195.256             
4500    538.910                 -1191.542             
4600    542.040                 -1187.737             
4700    545.109                 -1183.843             
4800    548.120                 -1179.864             
4900    551.076                 -1175.801             
5000    553.977                 -1171.658             
5100    556.827                 -1167.436             
5200    559.626                 -1163.138             
5300    562.377                 -1158.767             
5400    565.081                 -1154.325             
5500    567.740                 -1149.815             
5600    570.355                 -1145.239             
5700    572.928                 -1140.599             
5800    575.460                 -1135.898             
5900    577.952                 -1131.137             
6000    580.405                 -1126.320             
