T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  302.860                 -1341.876             
300     302.862                 -1341.945             
350     304.124                 -1343.629             
400     307.047                 -1347.245             
450     310.971                 -1349.105             
500     315.501                 -1350.854             
600     325.485                 -1353.525             
700     335.897                 -1355.595             
800     346.253                 -1357.300             
900     356.335                 -1411.899             
1000    366.049                 -1411.999             
1100    375.361                 -1412.050             
1200    384.268                 -1412.076             
1300    392.782                 -1412.097             
1400    400.921                 -1412.123             
1500    408.707                 -1412.166             
1600    416.164                 -1412.229             
1700    423.312                 -1412.317             
1800    430.173                 -1412.429             
1900    436.767                 -1412.561             
2000    443.111                 -1412.708             
2100    449.222                 -1412.864             
2200    455.115                 -1413.019             
2300    460.805                 -1413.164             
2400    466.303                 -1413.290             
2500    471.623                 -1413.385             
2600    476.775                 -1413.439             
2700    481.768                 -1413.442             
2800    486.613                 -1413.386             
2900    491.316                 -1413.262             
3000    495.886                 -1413.064             
3100    500.331                 -1412.784             
3200    504.656                 -1412.416             
3300    508.867                 -1411.957             
3400    512.971                 -1411.403             
3500    516.973                 -1410.752             
3600    520.877                 -1410.001             
3700    524.688                 -1409.148             
3800    528.411                 -1408.195             
3900    532.049                 -1407.140             
4000    535.606                 -1405.984             
4100    539.085                 -1404.729             
4200    542.490                 -1403.375             
4300    545.824                 -1401.924             
4400    549.090                 -1400.378             
4500    552.290                 -1398.739             
4600    555.427                 -1397.009             
4700    558.504                 -1395.191             
4800    561.522                 -1393.288             
4900    564.484                 -1391.301             
5000    567.392                 -1389.233             
5100    570.247                 -1387.087             
5200    573.053                 -1384.865             
5300    575.809                 -1382.570             
5400    578.519                 -1380.204             
5500    581.183                 -1377.770             
5600    583.803                 -1375.271             
5700    586.381                 -1372.707             
5800    588.918                 -1370.083             
5900    591.414                 -1367.399             
6000    593.872                 -1364.659             
