T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     370.394                 -351.487              
200     317.789                 -353.628              
250     312.336                 -354.309              
298.15  311.095                 -354.803              
300     311.097                 -354.820              
350     312.055                 -355.204              
400     314.233                 -357.706              
450     317.112                 -358.588              
500     320.396                 -359.455              
600     327.538                 -360.562              
700     334.896                 -361.236              
800     342.156                 -361.643              
900     349.186                 -415.006              
1000    355.933                 -413.905              
1100    362.383                 -412.775              
1200    368.539                 -411.629              
1300    374.414                 -410.478              
1400    380.024                 -409.330              
1500    385.386                 -408.190              
1600    390.516                 -407.065              
1700    395.431                 -405.957              
1800    400.146                 -404.871              
1900    404.675                 -403.810              
2000    409.030                 -402.775              
2100    413.225                 -401.770              
2200    417.269                 -400.796              
2300    421.172                 -399.855              
2400    424.944                 -398.949              
2500    428.592                 -398.080              
2600    432.124                 -397.247              
2700    435.547                 -396.453              
2800    438.867                 -395.697              
2900    442.091                 -394.980              
3000    445.223                 -394.302              
3100    448.268                 -393.662              
3200    451.232                 -393.058              
3300    454.117                 -392.490              
3400    456.929                 -391.956              
3500    459.670                 -391.454              
3600    462.344                 -390.981              
3700    464.955                 -390.535              
3800    467.504                 -390.115              
3900    469.996                 -389.716              
4000    472.432                 -389.338              
4100    474.814                 -388.976              
4200    477.146                 -388.628              
4300    479.429                 -388.293              
4400    481.665                 -387.966              
4500    483.857                 -387.647              
4600    486.005                 -387.333              
4700    488.111                 -387.023              
4800    490.178                 -386.714              
4900    492.205                 -386.406              
5000    494.196                 -386.096              
5100    496.151                 -385.784              
5200    498.072                 -385.470              
5300    499.959                 -385.152              
5400    501.814                 -384.831              
5500    503.638                 -384.506              
5600    505.432                 -384.177              
5700    507.196                 -383.845              
5800    508.933                 -383.509              
5900    510.642                 -383.171              
6000    512.324                 -382.832              
