T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     341.446                 -398.329              
200     298.294                 -399.980              
250     293.842                 -400.738              
298.15  292.827                 -401.413              
300     292.828                 -401.438              
350     293.613                 -402.098              
400     295.400                 -407.165              
450     297.761                 -409.131              
500     300.452                 -411.183              
600     306.291                 -414.305              
700     312.286                 -416.827              
800     318.178                 -418.999              
900     323.863                 -527.212              
1000    329.299                 -526.592              
1100    334.481                 -525.981              
1200    339.412                 -525.389              
1300    344.107                 -524.820              
1400    348.579                 -524.281              
1500    352.845                 -523.772              
1600    356.919                 -523.296              
1700    360.816                 -522.852              
1800    364.548                 -522.439              
1900    368.129                 -522.055              
2000    371.568                 -521.697              
2100    374.877                 -521.359              
2200    378.063                 -521.039              
2300    381.135                 -520.731              
2400    384.101                 -520.431              
2500    386.968                 -520.134              
2600    389.741                 -519.836              
2700    392.427                 -519.531              
2800    395.030                 -519.216              
2900    397.556                 -518.888              
3000    400.009                 -518.544              
3100    402.392                 -518.180              
3200    404.711                 -517.795              
3300    406.967                 -517.386              
3400    409.164                 -516.953              
3500    411.305                 -516.494              
3600    413.394                 -516.009              
3700    415.431                 -515.497              
3800    417.421                 -514.958              
3900    419.364                 -514.392              
4000    421.264                 -513.800              
4100    423.121                 -513.183              
4200    424.938                 -512.541              
4300    426.717                 -511.875              
4400    428.458                 -511.185              
4500    430.164                 -510.474              
4600    431.836                 -509.742              
4700    433.476                 -508.989              
4800    435.084                 -508.218              
4900    436.661                 -507.429              
5000    438.209                 -506.623              
5100    439.730                 -505.802              
5200    441.223                 -504.966              
5300    442.689                 -504.117              
5400    444.131                 -503.255              
5500    445.548                 -502.381              
5600    446.942                 -501.496              
5700    448.312                 -500.601              
5800    449.661                 -499.697              
5900    450.988                 -498.784              
6000    452.295                 -497.864              
