T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     49.744                  0.                    
200     34.038                  0.                    
250     32.422                  0.                    
298.15  32.056                  0.                    
300     32.056                  0.                    
350     32.337                  0.                    
400     32.975                  2.212                 
450     33.818                  -2.867                
500     34.780                  -3.548                
600     36.886                  -4.336                
700     39.082                  -4.680                
800     41.284                  -4.685                
