T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     281.045                 534.097               
200     246.492                 535.316               
250     243.056                 535.530               
298.15  242.286                 535.552               
300     242.287                 535.550               
350     242.871                 535.427               
400     244.189                 535.195               
450     245.918                 534.877               
500     247.877                 534.487               
600     252.104                 533.534               
700     256.429                 532.401               
800     260.676                 531.122               
900     264.774                 529.720               
1000    268.697                 528.208               
1100    272.441                 526.597               
1200    276.010                 524.891               
1300    279.413                 523.093               
1400    282.659                 521.205               
1500    285.761                 519.228               
1600    288.727                 517.163               
1700    291.568                 414.659               
1800    294.293                 412.886               
1900    296.910                 411.118               
2000    299.429                 409.358               
2100    301.855                 407.612               
2200    304.195                 405.884               
2300    306.456                 404.178               
2400    308.642                 402.501               
2500    310.760                 400.856               
2600    312.813                 399.248               
2700    314.807                 397.682               
2800    316.744                 396.161               
2900    318.628                 394.688               
3000    320.463                 393.267               
3100    322.252                 391.898               
3200    323.998                 390.584               
3300    325.702                 389.325               
3400    327.368                 388.122               
3500    328.997                 386.973               
3600    330.591                 -382.426              
3700    332.153                 -382.641              
3800    333.683                 -382.810              
3900    335.184                 -382.934              
4000    336.656                 -383.016              
4100    338.102                 -383.058              
4200    339.521                 -383.062              
4300    340.915                 -383.033              
4400    342.286                 -382.973              
4500    343.634                 -382.886              
4600    344.960                 -382.776              
4700    346.264                 -382.645              
4800    347.548                 -382.499              
4900    348.812                 -382.340              
5000    350.056                 -382.172              
5100    351.282                 -381.999              
5200    352.490                 -381.824              
5300    353.680                 -381.651              
5400    354.853                 -381.483              
5500    356.009                 -381.321              
5600    357.149                 -381.171              
5700    358.274                 -381.035              
5800    359.382                 -380.916              
5900    360.476                 -380.816              
6000    361.555                 -380.736              
