T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  112.967                 -744.752              
300     112.969                 -744.787              
400     117.014                 -746.459              
500     125.007                 -747.595              
600     134.374                 -748.151              
700     144.162                 -748.186              
800     153.973                 -747.729              
900     163.631                 -746.850              
1000    173.051                 -745.635              
1100    182.198                 -744.100              
1200    191.061                 -742.280              
1300    199.641                 -740.233              
1400    207.944                 -738.019              
1500    215.977                 -735.694              
1600    223.751                 -733.327              
1700    231.274                 -881.495              
1800    238.557                 -878.469              
1900    245.610                 -875.367              
2000    252.444                 -872.202              
2100    259.068                 -869.010              
2200    265.492                 -865.814              
2300    271.725                 -862.612              
2400    277.777                 -859.403              
2500    283.656                 -856.187              
2600    289.371                 -852.962              
2700    294.929                 -849.729              
2800    300.338                 -846.487              
2900    305.606                 -843.236              
3000    310.738                 -839.977              
