T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     280.168                 242.029               
200     250.917                 241.782               
298.15  247.418                 235.325               
300     247.419                 235.290               
400     248.945                 219.824               
500     251.831                 219.597               
600     255.060                 219.244               
700     258.294                 218.794               
800     261.412                 218.266               
900     264.373                 217.672               
1000    267.170                 217.020               
1100    269.809                 216.317               
1200    272.300                 215.566               
1300    274.654                 214.771               
1400    276.884                 213.931               
1500    278.999                 213.048               
1600    281.011                 212.120               
1700    282.928                 160.972               
1800    284.758                 160.187               
1900    286.509                 159.398               
2000    288.186                 158.606               
2100    289.796                 157.810               
2200    291.343                 157.008               
2300    292.833                 156.201               
2400    294.269                 155.388               
2500    295.655                 154.570               
2600    296.994                 153.745               
2700    298.290                 152.916               
2800    299.545                 152.082               
2900    300.761                 151.244               
3000    301.942                 150.403               
3100    303.089                 149.562               
3200    304.204                 148.721               
3300    305.288                 147.882               
3400    306.344                 147.046               
3500    307.373                 146.216               
3600    308.377                 -238.758              
3700    309.356                 -239.158              
3800    310.311                 -239.548              
3900    311.245                 -239.927              
4000    312.158                 -240.292              
4100    313.051                 -240.642              
4200    313.925                 -240.975              
4300    314.780                 -241.289              
4400    315.618                 -241.582              
4500    316.440                 -241.853              
4600    317.245                 -242.100              
4700    318.035                 -242.323              
4800    318.811                 -242.520              
4900    319.572                 -242.690              
5000    320.320                 -242.832              
5100    321.055                 -242.945              
5200    321.778                 -243.029              
5300    322.488                 -243.084              
5400    323.187                 -243.108              
5500    323.875                 -243.101              
5600    324.552                 -243.064              
5700    325.219                 -242.995              
5800    325.875                 -242.896              
5900    326.523                 -242.766              
6000    327.161                 -242.603              
