T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     329.089                 -1083.451             
200     287.566                 -1084.512             
250     283.340                 -1084.953             
298.15  282.381                 -1085.330             
300     282.382                 -1085.343             
350     283.123                 -1085.681             
400     284.812                 -1085.968             
450     287.048                 -1086.212             
500     289.602                 -1086.421             
600     295.164                 -1086.761             
700     300.901                 -1087.036             
800     306.564                 -1087.281             
900     312.047                 -1087.520             
1000    317.307                 -1087.768             
1100    322.333                 -1088.035             
1200    327.128                 -1088.330             
1300    331.702                 -1088.659             
1400    336.067                 -1089.027             
1500    340.237                 -1089.440             
1600    344.224                 -1089.899             
1700    348.043                 -1140.584             
1800    351.705                 -1140.909             
1900    355.221                 -1141.238             
2000    358.601                 -1141.570             
2100    361.855                 -1141.901             
2200    364.992                 -1142.228             
2300    368.018                 -1142.545             
2400    370.941                 -1142.848             
2500    373.768                 -1143.132             
2600    376.505                 -1143.393             
2700    379.156                 -1143.625             
2800    381.728                 -1143.825             
2900    384.223                 -1143.988             
3000    386.648                 -1144.112             
3100    389.005                 -1144.193             
3200    391.298                 -1144.227             
3300    393.530                 -1144.215             
3400    395.705                 -1144.152             
3500    397.825                 -1144.039             
3600    399.893                 -1528.026             
3700    401.912                 -1527.395             
3800    403.883                 -1526.713             
3900    405.809                 -1525.979             
4000    407.692                 -1525.194             
4100    409.534                 -1524.357             
4200    411.336                 -1523.469             
4300    413.100                 -1522.531             
4400    414.828                 -1521.542             
4500    416.520                 -1520.504             
4600    418.180                 -1519.418             
4700    419.807                 -1518.284             
4800    421.403                 -1517.104             
4900    422.969                 -1515.878             
5000    424.507                 -1514.608             
5100    426.016                 -1513.296             
5200    427.499                 -1511.942             
5300    428.956                 -1510.547             
5400    430.389                 -1509.114             
5500    431.797                 -1507.642             
5600    433.181                 -1506.134             
5700    434.543                 -1504.591             
5800    435.884                 -1503.015             
5900    437.203                 -1501.405             
6000    438.501                 -1499.764             
