T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     286.167                 314.654               
200     257.338                 314.319               
250     254.491                 313.995               
298.15  253.854                 313.629               
300     253.855                 313.614               
350     254.334                 313.148               
400     255.407                 304.652               
450     256.801                 303.527               
500     258.366                 282.312               
600     261.692                 282.088               
700     265.030                 281.761               
800     268.248                 281.339               
900     271.304                 280.837               
1000    274.187                 280.260               
1100    276.904                 279.618               
1200    279.465                 278.913               
1300    281.883                 278.147               
1400    284.170                 277.317               
1500    286.338                 276.422               
1600    288.397                 275.458               
1700    290.356                 224.244               
1800    292.226                 223.363               
1900    294.012                 222.449               
2000    295.722                 221.500               
2100    297.362                 220.520               
2200    298.937                 219.512               
2300    300.452                 218.479               
2400    301.912                 217.427               
2500    303.320                 216.362               
2600    304.679                 215.292               
2700    305.994                 214.221               
2800    307.267                 213.156               
2900    308.501                 212.104               
3000    309.697                 211.070               
3100    310.859                 210.059               
3200    311.987                 209.076               
3300    313.085                 208.125               
3400    314.154                 207.210               
3500    315.195                 206.333               
3600    316.210                 -178.653              
3700    317.200                 -179.030              
3800    318.167                 -179.362              
3900    319.112                 -179.648              
4000    320.035                 -179.885              
4100    320.938                 -180.071              
4200    321.822                 -180.206              
4300    322.688                 -180.287              
4400    323.537                 -180.313              
4500    324.368                 -180.283              
4600    325.185                 -180.196              
4700    325.985                 -180.051              
4800    326.772                 -179.847              
4900    327.545                 -179.583              
5000    328.304                 -179.258              
5100    329.051                 -178.871              
5200    329.786                 -178.422              
5300    330.510                 -177.910              
5400    331.222                 -177.334              
5500    331.924                 -176.693              
5600    332.616                 -175.988              
5700    333.298                 -175.217              
5800    333.971                 -174.380              
5900    334.635                 -173.478              
6000    335.290                 -172.508              
