T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     33.351                  0.                    
200     20.531                  0.                    
250     19.138                  0.                    
298.15  18.820                  0.                    
300     18.820                  0.                    
350     19.069                  0.                    
400     19.636                  0.                    
450     20.385                  0.                    
500     21.237                  0.                    
600     23.086                  0.                    
700     24.983                  0.                    
800     26.850                  0.                    
900     28.655                  0.                    
1000    30.387                  0.                    
1100    32.044                  0.                    
1200    33.627                  0.                    
1300    35.142                  0.                    
1400    36.592                  0.                    
1500    37.982                  0.                    
1600    39.317                  0.                    
1700    40.602                  50.177                
1800    41.839                  -49.947               
1900    43.033                  -49.675               
2000    44.187                  -49.361               
2100    45.303                  -49.006               
2200    46.386                  -48.608               
2300    47.436                  -48.169               
2400    48.456                  -47.688               
2500    49.448                  -47.165               
