T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  97.069                  -968.889              
300     97.070                  -968.907              
400     100.176                 -969.335              
500     106.481                 -968.634              
600     114.083                 -966.815              
700     122.256                 -963.874              
800     131.249                 -938.495              
900     142.807                 -932.976              
1000    153.810                 -926.701              
1100    164.248                 -928.412              
1200    174.144                 -923.211              
1300    183.529                 -918.088              
1400    192.441                 -913.038              
1500    200.917                 -908.060              
1600    208.991                 -903.151              
1700    216.695                 -1035.223             
1800    224.059                 -1028.585             
1900    231.110                 -1022.015             
2000    237.870                 -1015.513             
