T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  241.049                 320.800               
300     241.050                 320.820               
350     241.620                 321.403               
400     242.906                 322.023               
450     244.591                 322.658               
500     246.498                 323.294               
600     250.595                 324.537               
700     254.762                 325.709               
800     258.828                 326.795               
900     262.732                 327.162               
1000    266.454                 328.386               
1100    269.995                 321.722               
1200    273.363                 322.064               
1300    276.568                 322.420               
1400    279.624                 322.788               
1500    282.541                 323.167               
1600    285.331                 323.554               
1700    288.004                 187.031               
1800    290.568                 189.288               
1900    293.033                 191.540               
2000    295.404                 193.783               
2100    297.690                 196.013               
2200    299.895                 198.222               
2300    302.025                 200.405               
2400    304.085                 202.553               
2500    306.080                 204.658               
2600    308.013                 206.712               
2700    309.889                 208.704               
2800    311.710                 210.625               
2900    313.479                 212.463               
3000    315.200                 214.210               
3100    316.875                 215.853               
3200    318.506                 217.384               
3300    320.095                 218.792               
3400    321.646                 220.069               
3500    323.159                 221.204               
3600    324.636                 222.192               
3700    326.079                 223.026               
3800    327.489                 223.699               
3900    328.869                 224.209               
4000    330.218                 224.551               
4100    331.539                 224.725               
4200    332.833                 224.732               
4300    334.101                 224.569               
4400    335.343                 224.239               
4500    336.561                 223.746               
4600    337.756                 223.159               
4700    338.929                 222.371               
4800    340.080                 221.439               
4900    341.210                 220.369               
5000    342.320                 219.174               
5100    343.410                 217.876               
5200    344.482                 216.445               
5300    345.536                 214.909               
5400    346.572                 213.277               
5500    347.592                 211.557               
5600    348.595                 209.757               
5700    349.582                 207.886               
5800    350.554                 205.952               
5900    351.511                 204.172               
6000    352.454                 202.164               
