T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     183.121                 164.950               
200     166.542                 164.540               
250     164.982                 164.277               
298.15  164.640                 164.000               
300     164.641                 163.989               
350     164.894                 163.675               
400     165.456                 163.338               
450     166.183                 162.976               
500     166.996                 162.589               
600     168.719                 161.738               
700     170.448                 160.783               
800     172.117                 159.722               
900     173.705                 157.926               
1000    175.206                 156.971               
1100    176.624                 148.113               
1200    177.963                 146.246               
1300    179.229                 144.378               
1400    180.429                 142.511               
1500    181.568                 140.644               
1600    182.652                 138.778               
1700    183.684                 0.                    
1800    184.670                 0.                    
1900    185.613                 0.                    
2000    186.517                 0.                    
2100    187.385                 0.                    
2200    188.220                 0.                    
2300    189.025                 0.                    
2400    189.802                 0.                    
2500    190.553                 0.                    
2600    191.281                 0.                    
2700    191.988                 0.                    
2800    192.675                 0.                    
2900    193.345                 0.                    
3000    193.998                 0.                    
3100    194.637                 0.                    
3200    195.263                 0.                    
3300    195.878                 0.                    
3400    196.482                 0.                    
3500    197.077                 0.                    
3600    197.664                 0.                    
3700    198.244                 0.                    
3800    198.818                 0.                    
3900    199.387                 0.                    
4000    199.952                 0.                    
4100    200.513                 0.                    
4200    201.071                 0.                    
4300    201.626                 0.                    
4400    202.180                 0.                    
4500    202.731                 0.                    
4600    203.280                 0.                    
4700    203.829                 0.                    
4800    204.377                 0.                    
4900    204.925                 0.                    
5000    205.471                 0.                    
5100    206.017                 0.                    
5200    206.563                 0.                    
5300    207.108                 0.                    
5400    207.652                 0.                    
5500    208.196                 0.                    
5600    208.739                 0.                    
5700    209.281                 0.                    
5800    209.822                 0.                    
5900    210.359                 0.                    
6000    210.897                 0.                    
