T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     143.900                 -1516.961             
200     85.316                  -1520.175             
298.15  77.253                  -1520.884             
300     77.255                  -1520.881             
400     81.264                  -1519.938             
500     89.735                  -1515.999             
600     100.081                 -1513.028             
700     110.727                 -1509.833             
800     121.223                 -1506.516             
900     131.375                 -1503.208             
1000    141.110                 -1500.078             
1100    150.407                 -1497.276             
1200    159.273                 -1502.785             
1300    167.729                 -1499.224             
1400    175.798                 -1495.789             
1500    183.506                 -1492.509             
1600    190.879                 -1489.413             
1700    197.942                 -1486.531             
1800    204.716                 -1483.892             
1900    211.224                 -1481.528             
2000    217.483                 -1508.838             
2100    223.512                 -1508.597             
2200    229.326                 1508.348              
2300    234.939                 -1508.087             
2400    240.365                 -1507.817             
2500    245.616                 -1507.537             
2600    250.702                 -1507.250             
2700    255.634                 -1506.954             
2800    260.420                 -1506.649             
2900    265.070                 -1506.337             
3000    269.590                 -1506.015             
