T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     237.166                 -2453.501             
200     142.352                 -2458.258             
298.15  129.369                 -2459.146             
300     129.372                 -2459.135             
400     135.852                 -2457.340             
450     141.909                 -2455.868             
500     148.866                 -2454.266             
600     164.038                 -2450.880             
700     179.673                 -2447.326             
800     195.087                 -2443.632             
900     209.999                 -2439.941             
1000    224.302                 -2436.495             
1100    237.971                 -2433.495             
1200    251.017                 -2442.906             
1300    263.472                 -2438.647             
1400    275.371                 -2434.515             
1500    286.752                 -2430.558             
