T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  192.464                 -322.168              
300     192.466                 -322.150              
400     197.056                 -345.506              
500     205.746                 -408.753              
600     215.507                 -405.350              
700     225.324                 -401.956              
800     234.832                 -398.543              
900     243.903                 -395.141              
1000    252.509                 -391.813              
1100    260.660                 -388.627              
1200    268.383                 -389.573              
1300    275.708                 -385.968              
1400    282.670                 -382.414              
1500    289.298                 -378.940              
