T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  183.594                 1138.252              
300     183.595                 1138.292              
350     183.913                 1139.353              
400     184.621                 1140.373              
450     185.535                 1141.359              
500     186.556                 1142.312              
600     188.714                 1144.126              
700     190.862                 1145.826              
800     192.917                 1147.436              
900     194.855                 1148.934              
1000    196.672                 1150.264              
1100    198.373                 1151.372              
1200    199.968                 1148.279              
1300    201.465                 1149.685              
1400    202.876                 1151.004              
1500    204.208                 1152.229              
1600    205.469                 1153.350              
1700    206.667                 1154.358              
1800    207.806                 1155.245              
1900    208.894                 1156.000              
2000    209.934                 1141.926              
2100    210.931                 1141.638              
2200    211.889                 1141.370              
2300    212.811                 1141.124              
2400    213.699                 1140.901              
2500    214.557                 1140.702              
2600    215.387                 1140.527              
2700    216.191                 1140.378              
2800    216.970                 1140.254              
2900    217.727                 1140.154              
3000    218.463                 1140.078              
3100    219.179                 1140.026              
3200    219.877                 1139.997              
3300    220.557                 1139.990              
3400    221.221                 1140.004              
3500    221.870                 1140.037              
3600    222.503                 1140.089              
3700    223.123                 731.060               
3800    223.730                 732.380               
3900    224.323                 733.660               
4000    224.905                 734.899               
4100    225.476                 736.098               
4200    226.035                 737.258               
4300    226.584                 738.379               
4400    227.122                 739.462               
4500    227.651                 740.507               
4600    228.170                 741.517               
4700    228.681                 742.491               
4800    229.182                 743.431               
4900    229.676                 744.339               
5000    230.161                 745.215               
5100    230.638                 746.061               
5200    231.107                 746.879               
5300    231.570                 747.669               
5400    232.025                 748.434               
5500    232.473                 749.175               
5600    232.914                 749.893               
5700    233.349                 750.589               
5800    233.778                 751.266               
5900    234.200                 751.925               
6000    234.616                 752.566               
