T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     179.288                 -1218.342             
200     107.019                 -1219.118             
298.15  98.067                  -1218.799             
300     98.069                  -1218.779             
400     102.373                 -1217.149             
500     110.854                 -1214.951             
600     120.651                 -1212.566             
700     130.691                 -1210.125             
800     140.550                 -1207.662             
900     150.065                 -1205.180             
1000    159.182                 -1202.658             
1100    167.897                 -1200.079             
1200    176.228                 -1197.445             
1300    184.199                 -1194.750             
1400    191.839                 -1191.997             
1500    199.173                 -1189.178             
1600    206.229                 -1186.283             
1700    213.029                 -1183.324             
1800    219.595                 -1180.305             
1900    225.946                 -1177.243             
2000    232.099                 -1174.151             
2100    238.070                 -1171.047             
2200    243.872                 -1213.709             
2300    249.518                 -1210.901             
2400    256.263                 -1092.141             
2500    263.534                 -1091.505             
2600    270.487                 -1090.900             
2700    277.149                 -1090.326             
2800    283.543                 -1089.784             
2900    289.688                 -1089.271             
3000    295.605                 -1088.787             
3100    301.308                 -1088.332             
3200    306.814                 -1087.903             
3300    312.134                 -1087.500             
3400    317.281                 -1087.123             
3500    322.266                 -1086.769             
3600    327.098                 -1086.439             
3700    331.787                 -1979.745             
3800    336.341                 -1976.085             
3900    340.767                 -1972.548             
4000    345.073                 -1969.135             
