T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     303.535                 594.581               
200     275.876                 593.422               
250     273.208                 592.612               
298.15  272.617                 586.178               
300     272.618                 586.130               
350     273.058                 570.393               
400     274.041                 570.067               
450     275.316                 569.733               
500     276.746                 569.393               
600     279.791                 568.688               
700     282.856                 567.947               
800     285.824                 567.169               
900     288.655                 566.354               
1000    291.339                 565.502               
1100    293.878                 564.615               
1200    296.282                 563.695               
1300    298.560                 562.741               
1400    300.723                 561.756               
1500    302.782                 560.738               
1600    304.743                 559.686               
1700    306.617                 558.600               
1800    308.411                 557.480               
1900    310.130                 556.322               
2000    311.781                 555.126               
2100    313.369                 553.891               
2200    314.898                 552.616               
2300    316.374                 551.299               
2400    317.799                 549.942               
2500    319.178                 548.546               
2600    320.513                 547.113               
2700    321.808                 545.618               
2800    323.064                 544.029               
2900    324.284                 542.308               
3000    325.471                 540.431               
3100    326.626                 538.356               
3200    327.752                 536.055               
3300    328.850                 533.504               
3400    329.921                 530.671               
3500    330.967                 527.494               
3600    331.990                 523.879               
3700    332.990                 484.961               
3800    333.969                 483.760               
3900    334.928                 482.597               
4000    335.867                 481.472               
4100    336.789                 480.386               
4200    337.693                 479.340               
4300    338.580                 478.334               
4400    339.452                 477.368               
4500    340.308                 476.441               
4600    341.149                 475.554               
4700    341.977                 474.706               
4800    342.791                 473.896               
4900    343.592                 473.123               
5000    344.381                 472.386               
5100    345.158                 471.685               
5200    345.923                 471.017               
5300    346.677                 470.381               
5400    347.421                 469.776               
5500    348.153                 469.200               
5600    348.876                 468.653               
5700    349.588                 468.132               
5800    350.292                 467.635               
5900    350.985                 467.162               
6000    351.670                 466.711               
